State,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
NJ,"65,243","63,754","66,692","62,338","62,968","64,777","65,306","60,508","68,059","63,368","55,275","56,045","54,568","51,771","50,405","49,734","49,826","48,021","47,468","43,924","42,280","40,500","39,000","40,049","38,734"
NM,"46,686","40,166","43,424","41,982","45,134","43,542","42,102","44,356","40,028","38,947","39,562","35,105","35,457","33,124","35,093","32,574","31,543","30,086","25,086","25,991","26,905","26,758","25,860","26,540","25,039"
NY,"54,310","49,966","47,680","50,636","49,781","50,216","50,461","48,944","48,222","47,176","44,649","42,788","41,966","42,114","40,744","39,989","37,394","35,798","35,410","33,028","31,899","31,697","31,051","31,794","31,591"
NC,"46,784","46,337","41,553","45,206","43,830","41,906","42,930","43,513","39,797","42,056","40,238","37,279","36,515","38,162","38,317","37,254","35,838","35,840","35,601","31,979","30,114","28,820","27,771","26,853","26,329"
ND,"60,730","59,152","55,766","56,361","51,006","50,075","49,631","47,205","41,047","42,192","39,220","40,410","36,200","35,793","35,996","32,663","30,304","31,661","31,470","29,089","28,278","28,118","26,959","25,892","25,264"
OH,"49,644","50,748","44,375","44,648","45,886","45,879","46,934","49,099","45,900","44,203","43,055","43,520","42,684","41,785","42,962","39,489","38,925","36,134","34,070","34,941","31,855","31,285","31,404","29,790","30,013"
OK,"47,199","46,162","48,407","48,455","43,103","45,878","46,111","43,216","38,838","37,645","39,614","35,902","36,458","35,609","32,432","32,683","33,727","31,351","27,437","26,311","26,991","26,260","25,284","25,462","24,384"
OR,"58,875","48,999","51,775","51,526","50,602","49,098","51,727","50,236","47,091","44,159","40,994","41,638","41,802","41,273","42,499","40,619","39,067","37,247","35,492","36,374","31,456","33,138","31,927","30,190","29,281"
PA,"55,173","55,156","51,904","49,910","48,314","48,172","51,402","48,437","48,477","46,300","44,106","42,933","42,498","43,499","42,176","37,758","39,015","37,517","34,899","34,524","32,066","30,995","29,882","30,367","29,005"
RI,"58,633","56,323","56,065","49,033","51,623","51,634","53,241","54,210","53,736","49,484","47,935","44,711","42,417","45,723","42,197","42,719","40,686","34,797","36,986","35,359","31,928","33,509","30,432","30,836","31,968"
SC,"44,929","43,563","44,401","40,084","41,698","41,101","42,155","44,213","39,617","40,230","38,691","38,479","37,812","37,736","37,570","36,462","33,267","34,262","34,665","29,071","29,846","26,053","27,578","27,463","28,735"
SD,"53,053","53,413","49,415","47,223","45,352","45,826","51,600","46,418","45,427","43,151","41,107","39,522","37,873","39,671","36,475","35,828","32,786","29,694","29,526","29,578","29,733","27,737","26,259","24,639","24,571"
